occupation_title,task,rating
"Food Servers, Nonrestaurant",Clear tables of used dishes and utensils and prepare for the next guests.,1
"Food Servers, Nonrestaurant",Process guest payments and handle cash or card transactions efficiently.,3
"Food Servers, Nonrestaurant","Maintain cleanliness of dining area, including sweeping or mopping floors if necessary.",1
"Food Servers, Nonrestaurant","Restock supplies such as napkins, utensils, or condiments as needed throughout the service period.",1
"Food Servers, Nonrestaurant",Assist in setup and teardown of any events or catering services that may take place.,1
"Food Servers, Nonrestaurant",Follow food safety and sanitation practices to ensure a clean and hygienic environment.,1
"Food Servers, Nonrestaurant","Provide excellent customer service, addressing any guest inquiries or complaints promptly and professionally.",1
"Food Servers, Nonrestaurant",Participate in team meetings or training sessions to improve service delivery and operational efficiency.,2
Dining Room and Cafeteria Attendants and Bartender Helpers,Greet and seat customers in the dining area,1
Dining Room and Cafeteria Attendants and Bartender Helpers,Present menus and explain daily specials to patrons,1
Dining Room and Cafeteria Attendants and Bartender Helpers,Take customer orders and relay them to the kitchen staff,3
Dining Room and Cafeteria Attendants and Bartender Helpers,Serve food and beverages to tables promptly,1
Dining Room and Cafeteria Attendants and Bartender Helpers,Clear and reset tables after customers leave,1
Dining Room and Cafeteria Attendants and Bartender Helpers,"Assist in polishing glassware, utensils, and service dishes",1
Dining Room and Cafeteria Attendants and Bartender Helpers,Restock condiments and napkins in dining area,1
Dining Room and Cafeteria Attendants and Bartender Helpers,Monitor customer needs and ensure satisfaction with service,1
Dining Room and Cafeteria Attendants and Bartender Helpers,Handle customer inquiries and complaints in a professional manner,2
Dining Room and Cafeteria Attendants and Bartender Helpers,Assist bartenders with mixing and serving drinks,1
Dining Room and Cafeteria Attendants and Bartender Helpers,"Maintain cleanliness of the dining area, including sweeping and mopping floors",1
Dining Room and Cafeteria Attendants and Bartender Helpers,Assist in event setups and breakdowns when necessary,1
Dining Room and Cafeteria Attendants and Bartender Helpers,Ensure that all health and safety regulations are followed in the food and beverage service areas,1
Dining Room and Cafeteria Attendants and Bartender Helpers,"Prepare and serve coffee, tea, and other non-alcoholic beverages",1
Dining Room and Cafeteria Attendants and Bartender Helpers,Assist in inventory management and stock rotation of food and drink supplies,2
Dishwashers,"Sort and scrape plates, utensils, and glassware before washing.",1
Dishwashers,Load dirty dishes into the dishwasher properly based on size and type.,1
Dishwashers,Choose appropriate washing cycles and detergents based on the load.,2
Dishwashers,Remove clean dishes from the dishwasher and store them in designated areas.,1
Dishwashers,"Hand-wash items that are not dishwasher safe, such as certain pots, pans, or delicate items.",1
Dishwashers,"Maintain cleanliness of the dishwasher and kitchen area, including wiping down surfaces and removing debris.",1
Dishwashers,Conduct regular maintenance and report any issues with the dishwasher to management.,1
Dishwashers,"Assist with inventory management of dishwashing supplies, such as soap and cleaning products.",3
Dishwashers,Follow health and safety regulations for sanitation procedures.,1
Dishwashers,Monitor water temperature and chemical levels in the dishwasher to ensure proper sanitation.,3
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Greet and welcome guests as they arrive.,1
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Manage reservations and allocate tables to guests.,2
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Provide menus and explain daily specials to customers.,2
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Assist customers with seating preferences and questions.,1
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Monitor the dining area to ensure proper customer service and resolve any issues.,2
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Clear and clean tables after guests leave.,1
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Maintain an organized waiting list and inform guests of wait times.,2
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Coordinate with kitchen staff to ensure timely food preparation and service.,2
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Answer phone calls for reservation inquiries and provide information about the menu.,3
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Conduct follow-up checks on guests to ensure satisfaction with their meals and service.,1
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","Handle cash, process payments, and provide change as necessary.",3
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Assist in the training and onboarding of new staff members.,2
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Collaborate with the management team to ensure smooth restaurant operations.,2
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","Keep track of inventory of menus, utensils, and other supplies.",3
"Food Preparation and Serving Related Workers, All Other","Prepare ingredients for meals (washing, peeling, chopping vegetables)",1
"Food Preparation and Serving Related Workers, All Other",Cook and prepare food items according to recipes or menus,2
"Food Preparation and Serving Related Workers, All Other","Set up and take down dining areas, including tables and chairs",1
"Food Preparation and Serving Related Workers, All Other",Maintain cleanliness and organization in the kitchen and serving areas,1
"Food Preparation and Serving Related Workers, All Other",Assist in the plating and serving of meals to customers,1
"Food Preparation and Serving Related Workers, All Other",Monitor food storage standards and manage inventory of supplies,3
"Food Preparation and Serving Related Workers, All Other","Perform routine kitchen tasks, such as dishwashing and cleaning kitchen equipment",1
"Food Preparation and Serving Related Workers, All Other",Stock serving areas with condiments and utensils,1
